BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8462  GROUND FLOORKAMARAJ BHAVANOLD NO  327   328  NEW NO  571  
POONAMALLEE HIGH ROAD  AMINJIKARAI",,CHENNAI,,,600029,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8754 2ND FLR OBERONMALL NH 47
 BYE PASSANCHUMANA EDAPPALY KOCHI",,COCHIN,,,682024,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7682 URUMBATH BLDGNO 11 229PUMPJUNCTION 
RAILWAY STATION ROAD ALUVAALUVA",,COCHIN,,,683101,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7688 MARIA BLDG NO37 71C1 
S A ROADKADAVANTHRA",,COCHIN,,,680020,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7765 HAYATH  BLDGNO VI 104 NEAR ARGOYALAYAM HOSPITAL
BRIDGE ROAD ALUVA ALUVA"," 7765 HAYATH  BLDGNO VI 104 NEAR ARGOYALAYAM HOSPITAL
BRIDGE ROAD ALUVA ALUVA",COCHIN,,,683101,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"7767 MARIA PLAZABLDG NO III 286NH 47ROAD 
NEAR SOCIAL CHURCHKALAMASSERY"," 7767 MARIA PLAZABLDG NO III 286NH 47ROAD 
NEAR SOCIAL CHURCHKALAMASSERY",COCHIN,,,683104,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"FUN REPUBLICAVANASHI 
RDPEELAMEDU",,COIMBATORE,,Tamil Nadu,641004,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"NO 61 71 BROOKEFIELDS PLAZA 
KRISHNASWAMYROAD",,COIMBATORE,,Tamil Nadu,641001,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8976 RDRL COLLEGESQUARE UNIT NO 24PLOT
 NO 967 KHATA NO:758 190 THANA NO 3",,CUTTACK,,Odisha,753003,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"3RD FLR SHOP NO 311OZONE 
GALLERIASARAIDHELLA",,DHANBAD,,Jharkhand,828127,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"SHOP NO 7 LAXMIANAND VILLA 
PHADKEROAD DOMBIVLI E",,DOMBIVALI,,,421201,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"FORTUNE PLAZA 1STFLR NACHAN 
RDBENACHITY BHIRINGI KALI BARI",,DURGAPUR,,,713213,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8673 D NO 25 1 30SHOP NOS 201 208 301CENTRAL PLAZA 
RAMACHANDRA RAO PET ELURU WEST",,Eluru,,Andhra Pradesh,534002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
